# Ritz_Wavelength_A [Aº]	E_i [erg]	E_k [erg]	del_E [erg]	nu_ik [Hz]	B_ik	f_ik	g_i	g_k
wl  E_i   E_k   del_E nu_ik  B_ik    f_ik    g_i g_k
4009.2565	3.3995091833791197e-11	3.8948350922549997e-11	4.9532590887588e-12	747537629791098.8	801247188.3429043	0.0119	3.0	5.0
4023.979778	3.3995091833791197e-11	3.89302279115454e-11	4.935136077754203e-12	744802535089147.9	61723914.10371904	0.00091336	3.0	1.0
4026.184361	3.35882409577254e-11	3.8520674798691596e-11	4.932433840966196e-12	744394718003983.6	31788299.696154475	0.00047013	5.0	3.0
4026.1858939999997	3.35882409577254e-11	3.85206729081192e-11	4.932431950393802e-12	744394432681939.9	476787489.4042584	0.007051399999999999	5.0	5.0
4026.1859979999995	3.35882409577254e-11	3.85206727799448e-11	4.9324318222194e-12	744394413338072.1	2670291292.63009	0.039492	5.0	7.0
4026.196753	3.35882561463918e-11	3.8520674798691596e-11	4.932418652299796e-12	744392425755692.8	794693035.5435565	0.011753	3.0	3.0
4026.1982869999997	3.35882561463918e-11	3.85206729081192e-11	4.932416761727402e-12	744392140433649.0	2383944788.0130105	0.035257	3.0	5.0
4026.3569520000005	3.3588452381398196e-11	3.8520674798691596e-11	4.932222417293399e-12	744362810294652.8	3179236708.2189074	0.047017	1.0	3.0
4120.810757	3.35882409577254e-11	3.8407413361957194e-11	4.819172404231794e-12	727301490202652.2	261650665.21989533	0.0037808	5.0	3.0
4120.823739	3.35882561463918e-11	3.8407413361957194e-11	4.819157215565394e-12	727299197954361.4	261658410.40370286	0.0037809	3.0	3.0
4120.991556	3.3588452381398196e-11	3.8407413361957194e-11	4.8189609805589975e-12	727269582493321.4	261682907.1381328	0.0037811	1.0	3.0
4143.759042000001	3.3995091833791197e-11	3.87875760208038e-11	4.792484187012602e-12	723273748813419.9	1458199191.976068	0.020954	3.0	5.0
4168.971495000001	3.3995091833791197e-11	3.8758593369672e-11	4.763501535880801e-12	718899735271245.6	111336109.61008018	0.0015902000000000002	3.0	1.0
4387.929124	3.3995091833791197e-11	3.85208989596954e-11	4.525807125904204e-12	683027289944945.5	3188536689.082723	0.043269	3.0	5.0
4437.553408	3.3995091833791197e-11	3.8470288624939795e-11	4.475196791148599e-12	675389262333589.6	239864220.82588154	0.0032186	3.0	1.0
4471.470365	3.35882409577254e-11	3.80294930982168e-11	4.441252140491398e-12	670266392069452.2	92260474.40486874	0.0012286	5.0	3.0
4471.474069	3.35882409577254e-11	3.80294894132028e-11	4.4412484554773976e-12	670265835933263.5	1383758076.2332585	0.018427000000000002	5.0	5.0
4471.4743100000005	3.35882409577254e-11	3.8029489172875803e-11	4.441248215150404e-12	670265799663513.0	7749706473.910189	0.1032	5.0	7.0
4471.48565	3.35882561463918e-11	3.80294930982168e-11	4.4412369518249975e-12	670264099821161.4	2306519748.203253	0.030715	3.0	3.0
4471.489354	3.35882561463918e-11	3.80294894132028e-11	4.4412332668109975e-12	670263543684972.6	6918814042.882009	0.09213500000000001	3.0	5.0
4471.683243	3.3588452381398196e-11	3.80294930982168e-11	4.441040716818601e-12	670234484360121.4	9227237638.5843	0.12287000000000001	1.0	3.0
4713.139163	3.35882409577254e-11	3.7801768974271195e-11	4.213528016545795e-12	635898645741204.4	837037841.3932222	0.010575	5.0	3.0
4713.156145	3.35882561463918e-11	3.7801768974271195e-11	4.213512827879395e-12	635896353492913.6	837040858.7065794	0.010575	3.0	3.0
4713.375674	3.3588452381398196e-11	3.7801768974271195e-11	4.213316592872998e-12	635866738031873.6	837159000.3284914	0.010576	1.0	3.0
4921.931013	3.3995091833791197e-11	3.80298814666488e-11	4.034789632857601e-12	608923745922579.0	9943867603.95858	0.1203	3.0	5.0
5015.6779799999995	3.30301823254128e-11	3.69895595566788e-11	3.959377231266e-12	597542631603205.4	12751234182.577036	0.15138	1.0	3.0
5047.73854	3.3995091833791197e-11	3.79293215201478e-11	3.934229686356601e-12	593747405918504.2	731283067.7351997	0.0086265	3.0	1.0
5874.433870000001	3.35882409577254e-11	3.6968821371347395e-11	3.3805804136219953e-12	510191577794176.8	2200994.2177170394	2.231e-05	5.0	5.0
5874.46025	3.35882561463918e-11	3.6968821371347395e-11	3.3805652249555953e-12	510189285545885.94	10487079.18137128	0.0001063	3.0	5.0
5875.5987	3.35882409577254e-11	3.69681511794534e-11	3.379910221727998e-12	510090433547335.2	602171701.4972595	0.0061026000000000006	5.0	3.0
5875.613960000001	3.35882409577254e-11	3.6968142399507e-11	3.3799014417815973e-12	510089108492415.9	9030724163.774584	0.09152	5.0	5.0
5875.6148299999995	3.35882409577254e-11	3.69681419028312e-11	3.3799009451058e-12	510089033534930.0	50583706385.14168	0.51263	5.0	7.0
5875.62509	3.35882561463918e-11	3.69681511794534e-11	3.3798950330615978e-12	510088141299044.3	15054853564.119276	0.15257	3.0	3.0
5875.64035	3.35882561463918e-11	3.6968142399507e-11	3.3798862531151972e-12	510086816244125.06	45153823731.99838	0.4576	3.0	5.0
5875.96626	3.3588452381398196e-11	3.69681511794534e-11	3.379698798055201e-12	510058525838004.4	60228831615.627266	0.61034	1.0	3.0
6678.1517	3.3995091833791197e-11	3.6968821371347395e-11	2.9737295375561984e-12	448790319728980.56	79659710108.92279	0.71028	3.0	5.0
6679.676829999999	3.3995091833791197e-11	3.6968142399507e-11	2.9730505657158004e-12	448687850427219.6	18890801.89467612	0.00016840000000000003	3.0	5.0
7065.177140000001	3.35882409577254e-11	3.6399072737078994e-11	2.8108317793535944e-12	424206060782903.06	8248462729.381595	0.069518	5.0	3.0
7065.2153	3.35882561463918e-11	3.6399072737078994e-11	2.8108165906871943e-12	424203768534612.25	8248625954.007449	0.06951900000000001	3.0	3.0
7065.70861	3.3588452381398196e-11	3.6399072737078994e-11	2.8106203556807975e-12	424174153073572.25	8250269815.7251425	0.06952799999999999	1.0	3.0
